Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
27,58,4,1.8,3,91,0,0,0,0,0
13,93,1,1.5,3,0,0,0,0,0,1
2,39,2,1.7,2,0,0,0,0,0,0
23,148,2,7.5,1,0,0,0,1,1,1
22,53,4,1.9,3,98,0,1,1,0,1
24,71,2,1.7,1,145,0,0,0,0,1
22,92,1,2.8,2,0,0,0,0,1,0
10,61,4,2.1,3,0,0,0,0,1,0
19,38,3,2.5,2,135,0,0,0,0,0
37,58,4,1.7,1,0,0,0,0,1,0
1,80,1,0.8,2,150,0,0,0,0,0
8,71,4,1.8,3,0,0,0,0,1,0
18,89,3,0.5,3,0,0,0,0,1,1
38,83,1,1.8,3,0,0,0,0,1,0
32,28,3,0.2,1,0,0,0,0,1,1
3,52,4,1.7,2,0,0,0,0,0,0
26,70,1,1.2,1,169,0,0,0,0,0
22,71,1,1.4,3,0,0,0,0,0,1
16,75,1,3.7,3,280,0,0,0,0,0
39,170,3,7.9,3,99,1,0,1,1,0
17,78,4,0.8,1,78,0,0,0,1,0
11,25,2,1.0,2,0,0,0,0,0,0
14,60,2,0.6,3,0,0,0,0,1,1
29,120,4,2.7,2,111,1,1,1,1,0
29,99,2,1.4,1,264,0,0,0,1,1
1,55,3,2.6,3,113,0,0,0,0,1
6,29,3,1.0,2,117,0,0,0,0,0
28,170,2,6.2,2,325,1,0,0,1,0
40,53,3,2.2,1,0,0,0,0,0,1
21,138,1,0.0,1,0,0,0,0,0,0
41,134,3,3.9,3,121,1,0,0,1,0
40,42,2,0.7,3,138,0,0,0,0,1
0,99,4,2.3,3,0,0,0,0,0,1
41,18,3,0.5,1,0,0,0,0,0,1
9,24,4,0.3,1,0,0,0,0,1,0
30,55,1,1.4,1,77,0,0,0,1,0
27,58,1,0.0,1,0,0,0,0,0,1
16,111,2,1.2,3,251,1,0,0,1,0
23,33,1,0.3,3,0,0,0,1,1,1
1,74,4,1.8,2,112,0,0,0,1,1
19,38,2,0.7,1,0,0,0,0,0,0
23,23,4,0.6,3,98,0,1,0,0,0
38,61,2,1.5,1,0,0,0,0,1,0
22,81,1,2.9,1,138,0,0,0,0,0
39,129,1,2.5,1,0,0,0,0,1,0
13,33,1,0.75,3,0,0,0,0,0,0
36,63,4,2.2,1,0,0,0,0,1,0
14,70,4,1.4,2,0,0,0,0,1,0
3,45,4,0.2,1,158,0,0,0,1,1
16,65,3,0.5,3,0,0,0,0,1,0
5,74,4,2.2,1,0,0,1,0,0,1
24,50,4,1.8,3,0,0,1,0,0,0
5,22,4,0.5,3,109,0,0,0,1,0
2,30,4,1.0,3,0,0,0,0,0,0
26,21,4,1.0,1,0,0,0,0,1,0
14,155,2,3.9,1,0,0,0,0,1,0
8,64,4,2.1,3,164,0,0,0,1,0
31,65,4,2.6,3,0,0,0,0,0,1
9,71,4,0.7,3,0,0,0,0,1,0
36,40,3,0.5,2,0,0,1,0,1,0
19,69,3,0.5,3,0,0,0,0,1,0
13,69,3,2.33,2,0,0,0,0,0,0
25,45,3,0.6,2,131,0,0,0,1,0
12,62,3,0.7,2,0,0,0,0,0,1
19,172,2,4.3,3,391,1,1,1,1,0
15,24,3,1.0,2,0,0,0,0,1,1
25,80,1,4.9,1,0,0,0,0,0,0
16,8,3,0.67,2,88,0,0,0,1,0
5,38,4,0.8,1,129,0,0,0,1,1
19,93,4,2.6,3,0,0,0,0,0,0
9,55,1,2.0,1,0,0,0,0,1,0
34,64,2,1.7,3,0,0,0,0,0,1
9,122,1,0.0,1,0,0,0,0,1,0
25,70,3,1.4,3,0,0,0,0,1,0
19,81,2,3.2,1,0,0,0,0,0,0
15,159,1,5.5,3,0,1,0,1,1,0
9,70,4,1.3,1,0,0,1,0,0,0
39,150,2,6.9,1,196,0,0,0,0,0
21,152,2,7.5,1,0,0,0,0,1,0
25,195,4,3.0,1,617,1,0,0,0,0
23,22,1,0.1,1,0,0,0,0,0,0
35,22,1,1.3,1,123,0,0,0,1,0
29,79,3,0.8,1,0,0,0,0,1,1
18,33,1,1.4,3,0,0,0,0,1,0
8,128,2,4.33,1,0,0,0,1,1,1
38,91,1,3.8,1,0,0,1,0,1,0
32,39,4,0.9,1,0,0,0,0,1,1
26,121,1,7.3,1,167,0,0,0,1,0
6,21,1,0.67,3,0,0,1,0,1,0
9,41,3,2.3,1,0,0,0,0,0,1
37,45,2,0.7,3,0,0,0,0,1,0
2,51,3,0.3,3,0,0,0,0,1,0
31,165,1,1.6,2,0,1,0,0,1,0
16,119,2,4.2,2,0,1,0,0,1,0
2,110,4,1.8,3,190,0,0,0,1,0
39,20,3,0.7,2,0,0,0,0,0,1
34,64,1,0.8,2,248,0,0,0,0,0
20,101,3,4.4,2,82,1,0,0,0,0
39,101,1,3.9,1,0,1,1,1,1,0
34,99,1,4.4,1,0,1,0,0,0,0
30,158,4,6.1,1,0,1,0,0,0,0
28,89,1,1.9,2,0,0,0,0,1,1
27,80,1,1.3,3,0,0,0,1,1,1
32,114,2,2.0,1,402,0,0,0,1,0
35,49,3,0.5,2,0,0,0,0,1,1
4,191,1,6.33,1,0,0,0,0,1,0
30,78,4,1.0,2,0,0,0,0,1,0
6,28,3,1.0,1,0,0,0,0,0,0
33,42,1,0.8,2,0,0,0,0,1,0
38,140,1,2.5,1,0,0,0,0,0,0
23,45,1,1.3,2,0,0,0,0,1,0
32,122,2,0.3,1,360,0,0,1,1,1
12,65,3,2.6,2,0,0,0,0,1,0
27,68,1,1.4,3,0,0,0,0,1,0
3,153,2,2.0,1,392,0,0,0,0,0
13,89,4,1.4,2,0,0,0,0,0,0
34,91,1,2.6,1,0,0,0,0,1,1
6,55,4,2.0,2,185,0,0,0,1,0
19,118,2,3.3,1,0,0,0,0,0,1
5,22,1,0.67,3,103,0,0,0,0,0
24,63,3,1.4,3,138,0,0,0,1,1
27,12,4,0.5,2,78,0,1,0,1,0
19,50,3,2.7,2,0,0,0,0,1,0
0,43,2,1.6,3,0,0,1,1,1,1
15,173,4,6.6,1,0,1,0,1,1,1
2,60,2,3.0,1,132,1,0,0,0,0
14,113,1,1.0,3,0,0,1,0,1,0
4,155,4,5.3,2,0,1,0,0,1,0
28,91,4,1.0,2,0,0,0,0,0,1
29,55,4,1.1,2,0,0,0,0,1,0
20,173,2,1.4,1,419,0,0,0,1,0
19,71,3,0.3,3,0,0,0,0,0,1
30,24,2,0.4,3,88,0,0,0,0,0
14,42,1,2.0,2,81,0,0,0,1,0
6,141,2,4.33,1,0,0,0,0,1,0
6,32,1,1.9,3,0,0,0,0,1,0
10,55,4,1.3,1,0,0,0,0,0,0
19,153,2,7.5,1,0,0,0,0,1,0
32,113,2,1.4,1,270,0,0,0,0,1
0,30,2,1.7,2,0,0,0,0,0,0
24,29,3,1.0,3,148,0,0,0,0,1
32,174,1,6.8,2,466,1,0,0,1,0
24,35,1,0.3,3,0,0,0,0,1,0
8,98,2,2.0,2,175,0,0,0,1,0
37,30,2,1.0,3,159,0,0,0,1,0
6,58,2,2.5,1,0,0,0,0,0,1
12,25,4,1.0,1,147,0,0,0,0,0
34,19,4,0.7,1,0,0,0,0,0,0
30,44,4,0.7,2,174,0,0,0,1,0
25,20,4,1.0,1,111,0,0,0,1,1
5,98,2,3.1,1,220,0,0,0,1,0
7,90,3,1.6,1,0,0,0,0,1,0
21,61,3,0.7,1,0,0,0,0,0,0
5,40,4,2.0,2,0,0,0,0,1,0
23,38,2,2.1,3,0,0,0,0,0,0
0,28,2,1.7,2,0,0,0,0,0,0
33,34,1,1.5,3,0,0,0,0,1,1
29,73,2,2.3,3,0,0,0,0,1,1
41,133,4,2.0,1,0,1,0,0,0,1
18,53,1,0.2,1,0,0,0,0,1,0
25,21,4,0.6,3,0,0,0,0,1,1
9,40,3,0.9,1,0,0,0,0,1,0
5,41,4,1.7,2,0,0,0,0,1,0
5,82,4,1.8,2,0,0,0,0,1,0
30,100,4,3.4,3,0,1,0,0,0,0
20,155,1,7.0,1,0,0,0,0,1,1
19,45,1,0.2,1,0,0,0,0,1,0
32,9,3,0.3,3,0,0,0,0,0,1
29,48,4,1.8,3,0,0,0,0,1,0
28,18,4,0.1,3,109,0,1,1,1,1
9,80,4,3.4,1,0,0,0,0,1,1
35,64,2,2.8,1,0,0,0,0,0,0
24,29,4,0.1,1,0,0,0,0,0,0
2,48,3,0.7,2,0,0,0,0,1,0
30,23,2,0.4,1,0,0,0,0,0,0
3,84,4,0.2,1,0,0,0,0,1,1
10,179,3,6.6,1,0,1,0,0,1,0
2,30,4,1.5,2,112,0,0,0,0,1
28,93,1,4.9,1,133,0,0,1,1,1
30,39,2,1.9,2,0,0,0,0,0,0
36,60,3,0.5,2,182,0,0,0,0,0
11,133,1,3.8,1,290,0,1,1,1,1
19,125,1,2.4,1,0,0,0,0,0,0
40,58,1,1.8,3,0,0,0,0,1,0
36,89,2,2.8,1,0,0,0,0,1,0
22,82,1,2.67,2,125,0,0,0,1,0
23,110,2,3.3,1,0,0,0,0,1,1
36,54,4,2.3,3,0,0,1,0,0,0
20,89,4,1.9,3,0,0,0,0,1,0
7,42,3,2.3,1,0,0,0,0,1,0
28,41,3,1.9,2,0,0,0,0,0,1
8,38,4,1.0,2,124,0,0,0,1,0
15,85,2,0.4,1,0,0,0,0,1,0
29,83,4,1.0,2,0,0,0,0,1,0
0,33,4,1.0,3,0,0,0,0,0,0
33,50,4,2.1,1,0,0,0,0,0,1
22,58,4,3.6,3,0,0,0,0,1,1
3,115,4,3.1,2,0,1,0,0,0,0
20,145,2,6.3,1,0,0,1,1,1,0
19,161,2,7.5,1,0,0,0,0,0,0
30,38,1,0.2,1,0,0,0,0,0,0
3,28,4,0.8,1,0,0,0,0,1,0
18,75,3,2.33,1,0,0,0,0,0,1
7,35,3,1.3,1,116,0,0,0,0,1
38,24,2,1.0,1,116,0,0,0,0,1
13,78,4,0.1,2,0,0,0,0,1,0
26,113,1,1.3,3,161,0,0,0,1,0
13,75,3,2.1,1,224,0,0,0,1,0
17,91,1,5.7,1,0,0,0,0,1,0
28,31,4,0.2,1,141,0,0,0,1,1
6,45,1,1.8,2,0,0,0,0,1,0
26,80,3,0.8,1,0,0,0,0,0,0
35,50,3,1.4,3,112,0,0,0,1,0
9,31,4,1.0,2,0,0,1,0,1,0
32,113,2,3.8,2,119,1,0,1,1,1
23,29,4,0.6,1,0,0,0,0,1,0
39,59,2,1.5,1,139,0,0,0,1,0
27,43,1,1.3,2,0,0,1,0,1,0
28,122,1,3.0,3,115,1,0,0,1,0
24,29,1,1.0,1,0,0,0,0,0,0
40,91,2,0.0,3,0,0,0,0,1,1
32,65,3,2.2,3,0,0,0,0,1,0
23,22,1,1.0,1,0,0,0,0,0,1
23,71,1,1.4,3,0,0,0,0,0,0
4,60,4,2.0,2,0,0,0,0,1,1
37,60,3,2.0,3,0,0,0,0,1,0
25,69,1,0.3,1,0,0,0,0,1,1
2,48,2,1.75,3,89,0,0,0,1,0
13,21,3,0.2,2,0,0,0,0,0,0
28,53,4,2.8,2,0,0,1,0,0,0
24,29,3,0.9,3,0,0,0,0,0,0
4,60,4,2.2,2,0,0,0,0,1,0
39,42,3,0.5,2,116,0,0,0,1,0
3,69,3,0.3,3,0,0,0,0,0,0
24,20,1,1.0,1,0,0,0,0,1,1
10,200,2,3.0,1,458,0,0,0,0,0
36,141,2,2.1,1,0,0,0,0,1,1
30,81,2,3.7,1,0,0,1,0,0,0
4,183,3,8.3,3,0,1,0,0,1,0
22,149,2,5.5,2,0,1,1,1,1,0
19,83,4,3.6,3,0,1,0,0,0,1
42,35,1,1.9,2,172,0,0,0,1,0
0,13,2,0.9,3,0,0,0,0,1,0
20,39,1,2.4,1,0,0,0,0,0,1
10,21,1,0.5,3,0,0,0,0,1,0
23,10,2,0.7,3,0,0,0,0,1,1
6,84,4,1.8,2,0,0,0,0,0,0
24,30,4,0.1,1,161,0,0,0,1,1
19,31,4,0.3,1,156,0,0,0,1,0
39,182,1,1.2,2,547,1,0,0,1,0
34,114,2,6.9,1,0,0,0,0,1,0
19,152,3,6.1,2,0,1,0,0,0,0
34,53,1,0.8,2,0,0,1,0,0,1
39,24,4,0.4,2,78,0,0,0,1,0
20,150,2,3.3,1,0,0,0,0,0,1
36,132,2,6.0,1,470,0,0,0,1,1
29,68,3,1.6,3,0,0,0,0,1,1
9,53,1,1.2,1,0,0,0,0,0,1
32,173,1,4.6,2,88,1,0,1,1,0
5,30,3,1.0,2,0,0,0,0,0,0
1,113,2,0.2,1,0,0,0,0,1,1
34,15,1,0.8,2,0,0,0,0,1,0
30,84,2,3.7,1,304,0,1,0,1,0
13,88,4,1.4,2,0,0,0,0,1,1
13,43,3,2.8,1,0,0,0,0,1,0
28,43,2,2.1,3,0,0,0,1,1,1
10,90,2,2.7,1,0,0,0,0,1,0
18,34,4,0.3,1,104,0,1,0,1,0
36,38,4,1.3,1,0,0,0,0,1,0
24,173,1,1.0,1,0,0,0,0,1,1
17,160,2,8.0,1,0,0,0,0,1,0
0,44,4,0.6,2,0,0,0,0,1,1
24,83,2,0.4,3,0,0,0,0,1,0
22,94,4,2.6,3,0,0,0,0,1,0
8,43,1,2.1,3,0,0,0,0,0,1
25,42,3,1.7,2,0,0,0,0,1,0
33,34,2,0.3,1,0,0,0,0,0,0
26,39,3,1.9,2,0,0,0,0,1,0
19,70,1,0.1,2,0,0,0,0,0,0
5,39,4,1.8,3,185,0,0,0,0,1
10,44,3,2.0,3,0,0,0,0,1,0
12,69,3,3.1,2,0,1,0,0,1,0
25,44,3,0.9,3,0,0,0,0,0,0
40,32,3,0.1,3,0,0,0,0,1,0
22,15,2,0.7,3,0,0,0,0,0,0
28,118,2,6.8,1,112,0,0,0,1,0
26,62,1,1.3,2,221,0,0,0,1,0
5,82,4,2.2,2,0,0,0,0,0,0
14,54,3,3.0,1,108,0,0,0,0,1
6,48,1,2.1,3,0,0,0,0,0,0
1,74,3,0.3,3,0,0,0,0,1,0
16,113,1,1.0,3,211,0,0,0,0,1
27,81,3,1.7,2,0,0,0,0,0,0
27,43,3,1.0,2,169,0,0,0,0,0
4,34,1,1.8,2,0,0,0,0,1,0
9,48,1,2.5,3,105,0,0,0,1,0
37,54,4,1.2,2,129,0,0,0,1,1
24,75,4,1.4,2,0,0,0,0,1,0
11,72,1,2.8,1,224,0,0,0,0,0
31,39,4,0.9,1,0,0,0,0,0,0
2,75,4,0.2,1,0,0,0,0,1,0
38,79,2,2.8,1,179,0,0,0,0,0
2,205,1,6.33,1,271,0,0,0,0,1
8,65,2,0.1,1,89,0,0,0,1,0
39,122,4,0.2,1,378,1,0,0,1,0
15,82,1,0.8,2,0,0,0,0,1,0
30,21,2,0.2,1,0,0,0,0,0,1
6,50,4,2.1,3,0,0,1,1,1,1
37,39,2,2.8,1,113,0,0,1,1,1
2,101,1,1.9,1,0,0,0,0,0,0
28,41,2,0.6,3,0,0,1,0,0,0
25,132,1,0.3,1,0,0,0,0,1,0
2,43,3,2.4,2,176,0,0,0,1,0
20,131,1,4.9,3,0,1,0,0,1,0
5,11,1,0.4,2,76,0,0,0,0,1
32,21,1,0.3,3,117,0,0,0,0,0
2,109,4,2.3,3,314,0,0,0,1,0
6,141,2,4.33,1,0,0,0,0,0,0
14,81,3,0.1,1,0,0,0,0,1,0
38,54,3,2.4,1,90,0,0,0,0,1
10,164,2,7.8,1,0,0,0,0,1,0
19,28,4,0.3,1,87,0,0,0,0,0
2,68,3,2.6,3,203,0,1,0,0,0
14,44,3,2.0,3,180,0,1,1,1,1
23,61,1,1.4,3,0,0,0,0,1,1
36,35,3,1.3,2,0,0,0,0,0,1
34,54,3,0.3,2,0,0,0,0,1,1
34,14,1,0.1,1,0,0,0,0,1,1
3,52,4,2.2,1,230,0,0,0,1,0
28,101,2,0.3,1,0,0,0,0,0,0
2,149,2,7.2,1,0,0,0,0,1,0
8,35,4,0.8,1,137,0,0,1,1,1
34,21,3,0.3,3,129,0,0,0,1,0
15,118,2,1.9,1,0,0,0,0,0,1
5,38,4,2.0,2,0,0,1,0,0,0
25,24,4,0.2,1,138,0,0,0,1,0
18,59,1,3.7,3,0,0,0,0,1,0
33,41,4,1.67,3,0,0,0,0,1,0
3,85,1,0.8,2,0,0,0,0,1,1
27,12,4,1.0,1,0,0,0,0,1,0
7,32,1,0.6,3,152,0,0,0,0,0
29,79,3,0.8,1,0,0,0,0,1,0
28,175,3,3.6,3,0,1,0,1,1,1
8,28,3,0.9,1,0,0,0,0,0,0
9,41,2,0.1,1,161,0,0,0,1,1
14,70,3,2.1,1,185,0,0,0,0,0
25,161,3,6.5,2,485,1,1,1,0,0
9,53,4,2.2,2,0,0,0,0,1,0
15,128,1,3.4,1,0,0,0,0,0,0
28,50,3,1.0,2,0,0,0,0,1,1
5,80,2,2.0,2,0,0,0,0,1,1
30,93,1,2.7,2,0,0,0,0,1,0
2,48,3,0.3,3,0,0,0,0,0,1
28,149,2,6.8,1,0,0,0,0,1,0
19,49,3,2.5,2,0,0,0,0,1,1
